Provincia,Localidad,Cantidad
Salta,METAN,2
San Luis,CORTADERAS,2
Córdoba,Rio Ceballos,2
San Juan,santa lucia,2
Santa Fe,SUNCHALES,2
Mendoza,LAS TORTUGAS,2
Santa Fe,PUERTO GRAL SAN MARTIN,2
Santa Fe,PUEBLO ANDINO,2
Provincia de Buenos Aires,VILLA GRAL SAVIO,2
Mendoza,LAS PAREDES,2
Mendoza,CAMPO DE LOS ANDES,2
Córdoba,CRUZ DEL EJE,2
Provincia de Buenos Aires,Carmen de Patagones,2
Salta,ROSARIO DE LERMA,2
Provincia de Buenos Aires,Santa Clara del Mar,2
Provincia de Buenos Aires,Chascomus,2
Santa Cruz,JARAMILLO,2
La Rioja,VINCHINA,2
Salta,Salta,2
Entre Ríos,SANTA ANITA,2
Córdoba,Villa del Rosario,2
Provincia de Buenos Aires,Necochea,2
Santa Fe,SAN JERONIMO NORTE,2
Santa Fe,SAUCE VIEJO,2
Santa Fe,CARCARAÑA,2
Chaco,PUERTO TIROL,2
Córdoba,Villa Maria,2
Santa Fe,SAN JOSE DE LA ESQUI,2
Provincia de Buenos Aires,TIERRAS ALTAS,2
San Luis,HUALTARAN,2
Provincia de Buenos Aires,Tandil,2
Tierra del Fuego A. e I.A.S.,Ushuaia,2
Provincia de Buenos Aires,GOBERNADOR COSTA,2
Provincia de Buenos Aires,SALVADOR MARIA,2
Córdoba,ARGUELLO,2
San Juan,IGLESIA,2
Provincia de Buenos Aires,RICARDO ROJAS,2
Mendoza,CORONEL DORREGO,2
Provincia de Buenos Aires,RINGUELET,2
Provincia de Buenos Aires,PABLO PODESTA,2
Provincia de Buenos Aires,Ringuelet,2
Córdoba,VILLA SAN ISIDRO,2
Provincia de Buenos Aires,General Rodriguez,2
Corrientes,SALADAS,2
Córdoba,VILLA RUMIPAL,2
Santa Fe,ALVAREZ,2
Provincia de Buenos Aires,TORNQUIST,2
Corrientes,PASO DE LA PATRIA,2
Provincia de Buenos Aires,GENERAL JUAN MADARIA,2
Córdoba,SALDAN,2
Provincia de Buenos Aires,GENERAL BELGRANO,2
Salta,TARTAGAL,2
Provincia de Buenos Aires,JUAN MARIA GUTIERREZ,2
Provincia de Buenos Aires,TAPALQUE,2
Provincia de Buenos Aires,JUAN COUSTE,2
Santa Cruz,Los Antiguos,2
Corrientes,Mercedes,2
Provincia de Buenos Aires,NAVARRO,2
Provincia de Buenos Aires,VILLA BERNARDO MONTEAGUDO,2
Provincia de Buenos Aires,EXALTACION DE LA CRUZ,2
Mendoza,General Alvear,2
Córdoba,CARLOS PAZ,2
Córdoba,CAPITAL,2
Provincia de Buenos Aires,VILLA ASTOLFI,2
Córdoba,CANALS,2
Provincia de Buenos Aires,SALTO,2
Santa Fe,Rafaela,2
Provincia de Buenos Aires,FIORITO,2
Salta,salta,2
Entre Ríos,SAN JUSTO,2
Jujuy,La Quiaca,2
Córdoba,BELLE VILLE,2
Provincia de Buenos Aires,PUAN,2
Provincia de Buenos Aires,Florida,2
San Juan,CAPITAL,2
Provincia de Buenos Aires,NORDELTA,2
Santa Fe,SAN CRISTOBAL,2
Provincia de Buenos Aires,GENERAL ALVEAR,2
Chaco,COLONIA BENITEZ,2
Córdoba,VILLA GENERAL BRLGRANO,2
Chaco,FONTANA,2
Entre Ríos,VIALE,2
Provincia de Buenos Aires,ituzaingo,2
Córdoba,Las Higueras,2
Neuquén,Villa La Angostura,2
Santa Fe,BELLA ITALIA,2
Provincia de Buenos Aires,9 DE ABRIL,2
Santa Fe,CERES,2
Provincia de Buenos Aires,ABASTO,2
Córdoba,OLIVA,2
Provincia de Buenos Aires,ADOLFO GONZALES CHAVES,2
Provincia de Buenos Aires,bahia blanca,2
Córdoba,VILLA BUSTOS,2
Provincia de Buenos Aires,ayacucho,2
Chubut,Trelew,2
Chaco,MAKALLE,2
San Juan,pocito,2
Río Negro,San Carlos de Bariloche,2
Santa Fe,VILLA GOBERNADOR GAL,2
Santa Fe,HUMBOLDT,2
Entre Ríos,GENERAL GALARZA,2
Santa Fe,BARRANQUITAS,2
Mendoza,VILLA HIPODROMO,2
Córdoba,LAS VARAS,2
Córdoba,LAS TAPIAS,2
Santa Fe,VILLA AMELIA,2
Córdoba,LAS RABONAS,2
Neuquén,SAN PATRICIO DEL CHAÑAR,2
Provincia de Buenos Aires,Los Toldos,2
Mendoza,CHILECITO,2
Entre Ríos,URUGUAY,2
Río Negro,El Bolson,2
Córdoba,NOETINGER,2
Provincia de Buenos Aires,MAXIMO PAZ,2
Misiones,PUERTO IGUAZU,2
Entre Ríos,LARROQUE,2
Provincia de Buenos Aires,SAN IDIDRO,2
Santiago del Estero,FRIAS,2
Córdoba,MORRISON,2
Misiones,GARUPA,2
Río Negro,GENERAL FERNANDEZ ORO,2
Entre Ríos,IBICUY,2
Neuquén,ANDACOLLO,2
Río Negro,CINCO SALTOS,2
La Rioja,capital,2
Chubut,EPUYEN,2
Río Negro,General Roca,2
Neuquén,CONFLUENCIA,2
Chubut,EL MAITEN,2
Río Negro,PADRE ALEJANDRO STEFENELLI,2
Santa Fe,ZAVALLA,2
Chubut,PLAYA UNION,2
Santa Fe,FIGHIERA,2
Entre Ríos,HASENKAMP,2
Mendoza,malargue,2
Mendoza,las heras,2
Provincia de Buenos Aires,BAHIA SAN BLAS,2
Provincia de Buenos Aires,Henderson,2
Provincia de Buenos Aires,BULOGNE SUR MER,2
Córdoba,LA CARLOTA,2
Provincia de Buenos Aires,SOURIGUES,2
Provincia de Buenos Aires,VIRREYES,2
Córdoba,JOVITA,2
Mendoza,RODEO DEL MEDIO,2
Chaco,CORONEL DU GRATY,2
La Pampa,INTENDENTE ALVEAR,2
Provincia de Buenos Aires,CABILDO,2
Santa Fe,LAS TOSCAS,2
Córdoba,INRRIVILLE,2
Córdoba,INRIVILLE,2
Santa Cruz,El CAlafate,2
Provincia de Buenos Aires,Berazategui,2
Provincia de Buenos Aires,Benavidez,2
Córdoba,SANTA MARIA DE PUNILLA,2
Provincia de Buenos Aires,LAPRIDA,2
Salta,Capital,2
Salta,CHICOANA,2
Córdoba,JUSTINIANO POSSE,2
Corrientes,EMPEDRADO,2
Santa Fe,Cañada de Gomez,2
Provincia de Buenos Aires,MORSE,2
Provincia de Buenos Aires,PAZ JOSE C,2
Provincia de Buenos Aires,Pilar,2
Río Negro,VILLA MASCARDI,2
Provincia de Buenos Aires,BASE NAVAL RIO SANTI,2
Santa Cruz,COMANDANTE LUIS PIEDRABUENA,2
Córdoba,POTRERO DE GARAY,2
Entre Ríos,VILLA ELISA,2
Mendoza,USPALLATA,2
Provincia de Buenos Aires,SIERRAS BAYAS,2
Santa Fe,fighiera,1
Provincia de Buenos Aires,San Carlos de BOLIVAR,1
Provincia de Buenos Aires,San Andres,1
Tucumán,Cevil Redondo,1
Tucumán,LULES,1
Santiago del Estero,BARRIO ALBERDI,1
Santiago del Estero,FERNANDEZ,1
Tucumán,LASTENIA,1
Santa Fe,santa fe,1
Provincia de Buenos Aires,Saenz Peña,1
Tucumán,AGUILARES,1
Santa Fe,Serodino,1
Santa Fe,Santa Fe,1
Provincia de Buenos Aires,SAN BENITO,1
Provincia de Buenos Aires,TORQUINST,1
Santa Fe,SASTRE,1
Provincia de Buenos Aires,SAN NICOLAS DE LOS AROYOS,1
Tucumán,ALDERETES,1
Provincia de Buenos Aires,TESEI,1
Santa Fe,villa constitucion,1
Tierra del Fuego A. e I.A.S.,Isla Marambio sobre el Mar de Weddell,1
Tucumán,TAFI VIEJO,1
Provincia de Buenos Aires,SALDUNGARAY,1
Tucumán,LEON ROUGES,1
Santa Fe,WHEELWRIGHT,1
Santiago del Estero,villa ojo de agua,1
Tucumán,EL CORTE,1
Tucumán,Los Pocitos,1
Provincia de Buenos Aires,SAN FRANCISCO DE ASIS,1
Tucumán,San Miguel,1
Tucumán,VILLA LA TRINIDAD,1
Tucumán,FAMAILLA,1
Santa Fe,TOSTADO,1
Provincia de Buenos Aires,SUAREZ JOSE LEON,1
Provincia de Buenos Aires,SANTOS TESEI,1
Santa Fe,TOTORAS,1
Provincia de Buenos Aires,SARNADI,1
Provincia de Buenos Aires,Sourigues,1
Santiago del Estero,MACO,1
Santa Fe,VERA,1
Provincia de Buenos Aires,SANTA TRINIDAD,1
Santa Fe,VILLA GUILLERMINA,1
Provincia de Buenos Aires,STROEDER,1
Tierra del Fuego A. e I.A.S.,ANTARTIDA ARGENTINA,1
Provincia de Buenos Aires,SAN MARTIN GENERAL,1
Santa Fe,SOLEDAD,1
Provincia de Buenos Aires,SANTA ROSA,1
Tucumán,VILLA CARMELA,1
Provincia de Buenos Aires,SALIQUELLO,1
Tucumán,JUAN BAUTISTA ALBERDI,1
Santa Fe,Timbues,1
Provincia de Buenos Aires,SANTA LUCIA,1
Provincia de Buenos Aires,SANTA ELENA,1
Santa Fe,SOLDINI,1
Provincia de Buenos Aires,SAN BERNARDO DEL TUYU,1
Tucumán,MICROCENTRO,1
Santa Fe,Villa Gobernador Galvez,1
Santa Fe,TEODELINA,1
Provincia de Buenos Aires,Vicente Lopez,1
Santa Fe,SANCTI SPIRITU,1
San Juan,Chimbas,1
Salta,VILLA SAN LORENZO,1
Salta,Vaqueros,1
San Juan,BARREAL,1
Santa Fe,COLONIA CASTELAR,1
San Juan,CAPITAN LAZO,1
San Juan,CAUCETE,1
San Juan,CAUSETE,1
San Juan,CHIMBAS,1
San Juan,COLONIA ZAPATA,1
San Juan,Jachal,1
San Juan,VILLA DEL CARMEN,1
San Juan,LAS CHIMBAS,1
San Juan,LAS FLORES,1
Santa Fe,CLUCELLAS,1
San Juan,RAWSON,1
Santa Fe,CHOVET,1
Santa Fe,CHAÑAR LADEADO,1
San Juan,RODEO,1
San Juan,Rawson,1
San Juan,Rivadavia,1
Salta,SAN ANTONIO DE LOS COBRES,1
Salta,SALVADOR MAZZA,1
Salta,ROSARIO DE LA FRONTERA,1
Salta,LA SILLETA,1
Santa Fe,EMILIA,1
Río Negro,El Foyel,1
Río Negro,Fernandez Oro,1
Río Negro,GENERAL ENRIQUE GODO,1
Río Negro,GRAL ROCA,1
Río Negro,INGENIERO JACOBACCI,1
Río Negro,LAMARQUE,1
Río Negro,LOS MENUCOS,1
Río Negro,PILCANIYEU,1
Río Negro,Sa Grande,1
Río Negro,VALCHETA,1
Santa Fe,Cañada De Gomez,1
Santa Fe,Casilda,1
Salta,BARRIO SANTA ANA,1
Salta,CAMPAMENTO VESPUCIO,1
Salta,EL CARRIL,1
Salta,EL QUEBRACHAL,1
Salta,General Güemes,1
Salta,LA MERCED,1
San Juan,SANTA  LUCIA,1
San Juan,barrio altos del natania,1
Río Negro,DIMA HUAPI,1
Santa Fe,AVELLANEDA,1
San Luis,TILISARAO,1
San Luis,VILLA DEL CARMEN,1
San Luis,VILLA LARCA,1
San Luis,VILLA REYNOLDS,1
San Luis,Villa de Merlo,1
San Luis,Vlla Reynolds,1
Santa Cruz,AGUADA ALEGRE,1
Santa Cruz,CABO DE LAS VIRGENES,1
Santa Fe,Armsrtrong,1
Santa Fe,ATALIVA,1
Santa Fe,CENTENO,1
Santa Cruz,Gobernador Gregores,1
Santa Cruz,LAGO POSADAS,1
Santa Cruz,MORENO PERITO,1
Santa Fe,ARTEAGA,1
Santa Fe,ARROYO LEYES,1
Santa Cruz,RIO TURBIO,1
Santa Cruz,Rio gallegos,1
Santa Cruz,TRES CERROS,1
Santa Cruz,rio gallegos,1
San Luis,SAN PABLO,1
San Luis,SAN FRANCISCO DEL MONTE DE ORO,1
Santa Fe,BERNARDO DE IRIGOYEN,1
San Luis,NOGOLI,1
San Juan,caucete,1
Santa Fe,CAÑADA DEL UCLE,1
San Juan,madia agua,1
San Juan,rivadavis,1
San Juan,rodeo,1
San Juan,ullun,1
San Juan,zonda,1
San Luis,BELGRANO,1
San Luis,CERRO DE ORO,1
Santa Fe,CARMEN,1
San Luis,Carpinteria,1
San Luis,Carpintria,1
San Luis,EL VOLCAN,1
San Luis,FRAGA ZONA RURAL,1
San Luis,Juana Koslay,1
San Luis,LUJAN,1
San Luis,La Punta,1
San Luis,Los Molles,1
Santa Fe,BIGAND,1
Río Negro,EL CUY,1
Río Negro,Cipolletti,1
Santa Fe,SAN VICENTE,1
Provincia de Buenos Aires,VILLA LYNCH,1
Provincia de Buenos Aires,VILLA GENERAL SAVIO,1
Provincia de Buenos Aires,VILLA GODOY CRUZ,1
Provincia de Buenos Aires,VILLA GRANADEROS DE SAN MARTIN,1
Santa Fe,PUEBLO ALCORTA,1
Provincia de Buenos Aires,VILLA GREGORIA MATORRAS,1
Santa Fe,PAVON ARRIBA,1
Santa Fe,Montes de Oca,1
Santa Fe,MURPHY,1
Provincia de Buenos Aires,VILLA LINCH,1
Santa Fe,MARIA SUSANA,1
Provincia de Buenos Aires,VILLA VENTANA,1
Provincia de Buenos Aires,VILLA MARTELI,1
Santa Fe,Las Parejas,1
Santa Fe,LUIS PALACIOS,1
Santa Fe,LOPEZ,1
Provincia de Buenos Aires,VILLA SAN ANDRES,1
Santa Fe,LLAMBI CAMPBELL,1
Provincia de Buenos Aires,VILLA SANTA ROSA,1
Provincia de Buenos Aires,VILLA TESEI,1
Provincia de Buenos Aires,VILLA TESSEI,1
Santa Fe,PUEBLO AREQUITO,1
Provincia de Buenos Aires,VILLA ELVIRA,1
Santa Fe,PUERTO GABOTO,1
Santa Fe,Perez,1
Provincia de Buenos Aires,TRES ALGARROBOS,1
Provincia de Buenos Aires,TRES DE FEBRERO,1
Santa Fe,SAN JOSE DEL RINCON,1
Santa Fe,SAN JOSE DE LA ESQUINA,1
Provincia de Buenos Aires,Temperley,1
Provincia de Buenos Aires,Tolosa,1
Provincia de Buenos Aires,Tres de Febrero,1
Santa Fe,SAN JERONIMO SUD,1
Provincia de Buenos Aires,UNIDAD TURISTICA CHAPADMALAL,1
Provincia de Buenos Aires,Uribelarrea,1
Provincia de Buenos Aires,VALENTI ALSINA,1
Santa Fe,SAN GERONIMO,1
Santa Fe,SAN CARLOS SUD,1
Provincia de Buenos Aires,VILL ALUZURIAGA,1
Provincia de Buenos Aires,VILLA AYACUCHO,1
Santa Fe,Pujato Norte,1
Provincia de Buenos Aires,VILLA BOSH,1
Provincia de Buenos Aires,VILLA CACIQUE,1
Provincia de Buenos Aires,VILLA CASTELLS,1
Provincia de Buenos Aires,VILLA VATTEONE,1
Provincia de Buenos Aires,VILLA YAPEYU,1
Río Negro,CLEMENTE ONELLI,1
Provincia de Buenos Aires,muñiz,1
Provincia de Buenos Aires,ciudad evita,1
Santa Fe,Funes,1
Provincia de Buenos Aires,claypole,1
Provincia de Buenos Aires,isidro casanova,1
Santa Fe,FRONTERA,1
Provincia de Buenos Aires,junin,1
Provincia de Buenos Aires,la dulce,1
Santa Fe,FRAY LUIS BELTRAN,1
Provincia de Buenos Aires,moreno,1
Provincia de Buenos Aires,san justo,1
Santa Fe,LAS PETACAS,1
Provincia de Buenos Aires,san miguel,1
Santa Fe,Elortondo,1
Provincia de Buenos Aires,sierra de la ventana,1
Provincia de Buenos Aires,villa centenario,1
Provincia de Buenos Aires,zarate,1
Provincia de Buenos Aires ,LANUS,1
Santa Fe,EMPALME VILLA CONSTITUCION,1
Río Negro,Bariloche,1
Río Negro,Blaneario Las Grutas,1
Provincia de Buenos Aires,ahedo,1
Provincia de Buenos Aires,Zarate,1
Santa Fe,Galvez,1
Provincia de Buenos Aires,ZONA DELTA TIGRE,1
Provincia de Buenos Aires,VUELTA DE OBLIGADO,1
Provincia de Buenos Aires,Valeria del Mar,1
Santa Fe,LANDETA,1
Santa Fe,LAGUNA PAIVA,1
Santa Fe,JUAN BERNABE MOLINA,1
Santa Fe,AMBROSETTI,1
Provincia de Buenos Aires,Villa Ballester,1
Santa Fe,JOSEFINA,1
Provincia de Buenos Aires,Villa Elvira,1
Provincia de Buenos Aires,Villa Gesell,1
Provincia de Buenos Aires,Villa Libertad,1
Santa Fe,IBARLUCEA,1
Provincia de Buenos Aires,Villa Lynch,1
Provincia de Buenos Aires,Villa Marques De Aguado,1
Provincia de Buenos Aires,Villa Ramallo,1
Provincia de Buenos Aires,Villalonga,1
Provincia de Buenos Aires,Villanueva,1
Provincia de Buenos Aires,ZAMUDIO,1
Santa Fe,Granadero Baigorria,1
Catamarca,CATAMARCA,1
Provincia de Buenos Aires,DIQUE LUJAN,1
Provincia de Buenos Aires,ROBERTS,1
Córdoba,VILLA DEL PRADO,1
Córdoba,VILLA HUIDOBRO,1
Córdoba,VILLA ICHO CRUZ,1
Córdoba,VILLA LA BOLSA,1
Córdoba,VILLA PAQUE SANTA ANA,1
Córdoba,VILLA PARQUE SIQUIMAN,1
Córdoba,VILLA RIO ICHO CRUZ,1
Córdoba,VILLA RIVERA INDARTE,1
Córdoba,VILLA SAN NICOLAS,1
Córdoba,VILLA SANTA CRUZ DEL LAGO,1
Córdoba,VILLA YACANTO,1
Córdoba,VILLAS CIUDAD DE AMERICA,1
Córdoba,Villa Allende,1
Córdoba,Villa Los Aromos,1
Córdoba,Villa Nueva,1
Córdoba,Villa del rosario,1
Córdoba,YACANTO,1
Córdoba,cordoba,1
Córdoba,rio primero,1
Córdoba,villa Adela,1
Córdoba,villa san nicolas,1
Entre Ríos,ALDEA BRASILERA,1
Entre Ríos,ALDEA MARIA LUISA,1
Entre Ríos,ALDEA PROTESTANTE,1
Entre Ríos,ALDEA VALLE MARIA,1
Entre Ríos,ANTONIO TOMAS,1
Entre Ríos,ARANGUREN,1
Entre Ríos,COLONIA AYUI,1
Entre Ríos,Ceibas,1
Entre Ríos,EL PINGO,1
Córdoba,VILLA GENERAL BELGRA,1
Córdoba,VILLA DEL DIQUE,1
Córdoba,Los Cedros,1
Córdoba,VILLA DE SOTO,1
Córdoba,MATIENZO,1
Córdoba,MAYU SUMAJ,1
Córdoba,MENDIOLAZA GOLF,1
Córdoba,MIRAMAR,1
Córdoba,MONTE CRISTO,1
Córdoba,MULLER,1
Córdoba,OBISPO TREJO,1
Córdoba,PIQUILLIN,1
Córdoba,PORTEÑA,1
Córdoba,POZO DEL MOLLE,1
Córdoba,PRADOS DE MANANTIALES,1
Córdoba,Pedania Villa del Rosario,1
Córdoba,QUEBRADA DE LOS POZOS,1
Córdoba,RIO PRIMERO,1
Córdoba,SAN JERONIMO,1
Córdoba,SAN LORENZO,1
Córdoba,SAN MARCOS SIERRAS,1
Córdoba,SAN NICOLAS,1
Córdoba,SAN PEDRO,1
Córdoba,SAN ROQUE,1
Córdoba,SANTA ISABEL,1
Córdoba,SANTA MARIA,1
Córdoba,SANTA MONICA,1
Córdoba,SATURNINO M LASPIUR,1
Córdoba,SUCO,1
Córdoba,TANCACHA,1
Córdoba,TANTI NUEVO,1
Córdoba,TOLEDO,1
Córdoba,VILLA ASCASUBI,1
Entre Ríos,ENRIQUE CARBO,1
Entre Ríos,Estacion Yuqueri,1
Entre Ríos,GENERAL CAMPOS,1
Entre Ríos,GOBERNADOR SOLA,1
Jujuy,San Salvador de Jujuy,1
Jujuy,San salvador,1
La Pampa,ATALIVA ROCA,1
La Pampa,CARRO QUEMADO,1
La Pampa,CATRILO,1
La Pampa,EMBAJADOR MARTINI,1
La Pampa,Eduardo Castex,1
La Pampa,LA ADELA,1
La Pampa,LUAN TORO,1
La Pampa,MAISONNAVE,1
La Pampa,MARACO,1
La Pampa,PARERA,1
La Pampa,RANCUL,1
La Pampa,SPELUZZI,1
La Rioja,SAN BLAS DE LOS SAUCES,1
La Rioja,VILLA SANAGASTA,1
La Rioja,Villa Sanagasta,1
Mendoza,5TA SECCION,1
Mendoza,AGRELO,1
Mendoza,ALTO SALVADOR,1
Mendoza,ALTO VERDE,1
Mendoza,Alto Verde Giagnoni,1
Mendoza,BARRIO MARTIN GUEMES,1
Mendoza,BERMEJO,1
Mendoza,BOWEN,1
Mendoza,Bowen,1
Mendoza,CAPITAN MONTOYA,1
Mendoza,CHALLAO,1
Mendoza,CIUDAD DE JUNIN,1
Jujuy,San Pedro,1
Jujuy,San Antonio,1
Jujuy,SAN SALVADOR DE JUJY,1
Entre Ríos,SAUCE DE LUNA,1
Entre Ríos,Gral Pueblo Belgrano,1
Entre Ríos,HAMBIS,1
Entre Ríos,HERNANDARIAS,1
Entre Ríos,LIBERTADOR SAN MARTI,1
Entre Ríos,LIBERTADOR SAN MARTIN,1
Entre Ríos,LUCAS GONZALEZ,1
Entre Ríos,MACIA,1
Entre Ríos,MARIA GRANDE,1
Entre Ríos,PRONUNCIAMIENTO,1
Entre Ríos,PUEBLO ARRUA EST ALCARAZ,1
Entre Ríos,PUEBLO BRUGO,1
Entre Ríos,Puerto Ruiz,1
Entre Ríos,SAN JAIME DE LA FRONTERA,1
Entre Ríos,SAUCE PINTO,1
Jujuy,Palpala,1
Entre Ríos,San Jaime de La Frontera,1
Entre Ríos,TALA,1
Entre Ríos,UBAJAY,1
Entre Ríos,VILLA PARANACITO,1
Entre Ríos,VILLA SAN JUSTO,1
Entre Ríos,VILLA URQUIZA,1
Formosa,CLORINDA,1
Formosa,COMANDANTE FONTANA,1
Formosa,EL POTRILLO,1
Formosa,El Colorado,1
Formosa,Las Lomitas,1
Formosa,Lomitas,1
Formosa,formosa,1
Córdoba,MALVINAS ARGENTINAS,1
Córdoba,La Serranita,1
Provincia de Buenos Aires,RIVERA,1
Chubut,EL HOYO DE EPUYEN,1
Chubut,El Hoyo,1
Chubut,Esquel,1
Chubut,FACUNDO,1
Chubut,LAS GOLONDRINAS  LAGO PUELO,1
Chubut,LOS CIPRESES,1
Chubut,Las Golondrinas,1
Chubut,PARAJE CERRO RADAL LAGO PUELO,1
Chubut,PLAYA UNION RAWSON,1
Chubut,Paraje Entre Rios,1
Chubut,Puerto Madryn,1
Chubut,Puerto madryn,1
Chubut,Trevelin,1
Chubut,VILLA FUTALAUFQUEN,1
Chubut,Villa Lago Rivadavia,1
Ciudad de Buenos Aires,BALVANERA,1
Ciudad de Buenos Aires,CAPITAL FEDERAL,1
Ciudad de Buenos Aires,CIUDAD AUTONOMA DE  BUENOS AIRES,1
Ciudad de Buenos Aires,CIUDAD DE BUENOS AIRES,1
Corrientes,CAPITAL,1
Corrientes,COLONIA CAROLINA,1
Corrientes,CORRIENTES CAPITAL,1
Corrientes,ENSENADA GRANDE,1
Corrientes,Ituzaingo,1
Corrientes,MANUEL DERQUI,1
Corrientes,MBURUCUYA,1
Corrientes,Mocoreta,1
Corrientes,NARANJITO SAN ROQUE,1
Corrientes,Paso de la Patria,1
Corrientes,Riachuelo,1
Chubut,ESCALANTE,1
Chubut,DOLAVON,1
Córdoba,La Falda,1
Chubut,Camarones,1
Catamarca,Catamarca,1
Catamarca,RINCON,1
Catamarca,SAN FERNANDO,1
Catamarca,SAN FERNANDO DEL VAL,1
Catamarca,SAN FERNANDO DEL VALLE,1
Catamarca,SAN ISIDRO,1
Catamarca,SUMALAO,1
Catamarca,San Fernando del valle de Catamarca,1
Catamarca,VALLE VIEJO,1
Catamarca,VILLA DOLORES,1
Chaco,Barranqueras,1
Chaco,CHACO,1
Chaco,CHARATA,1
Chaco,COLONIA BARANDA,1
Chaco,COLONIA POPULAR,1
Chaco,EL SAUZALITO,1
Chaco,GENERAL VEDIA,1
Chaco,LAS PALMAS,1
Chaco,MARGARITA BELEN,1
Chaco,PRECIDENCIA ROQUE SANEZ PEÑA,1
Chaco,PRESIDENCIA ROQUE SA,1
Chaco,PRESIDENCIA ROQUE SAENZ PEÑA,1
Chaco,PRESIDENTE ROQUE SAENZ PEÑA,1
Chubut,ALTO RIO SENGUER,1
Chubut,CHOLILA,1
Chubut,COMODORO RIIVADAVIA,1
Chubut,COMODORO RIVADAVA,1
Chubut,COMODORO RIVDAVIA,1
Chubut,CORCOVADO,1
Corrientes,SAN BENITO,1
Corrientes,SAN LUIS DEL PALMAR,1
Corrientes,SANTA ANA DE LOS GUACARAS,1
Corrientes,Santo Tome,1
Córdoba,Capilla del Monte,1
Córdoba,Corral de Bustos,1
Córdoba,Costa Azul Anisacate,1
Córdoba,DEVOTO,1
Córdoba,EL FORTIN,1
Córdoba,EL MANZANO,1
Córdoba,ESTACION JUAREZ CELMAN,1
Córdoba,ESTANCIA VIEJA,1
Córdoba,GENERAL CABRERA,1
Córdoba,GOULD,1
Córdoba,GRAL BELGRANO,1
Córdoba,GRANJA DE CLARET,1
Córdoba,GUATIMOZIN,1
Córdoba,General Cabrera,1
Córdoba,HUINCA REMANCO,1
Córdoba,HUINCA RENANCO,1
Córdoba,IDIAZABAL,1
Córdoba,ISLA VERDE,1
Córdoba,LA GRANJA,1
Córdoba,LA PALESTINA,1
Córdoba,LA PUERTA,1
Córdoba,LAGUNA LARGA,1
Córdoba,LAS ALBAHACAS,1
Córdoba,LAS PERDICES,1
Córdoba,LOS AROMOS,1
Córdoba,LOS CONDORES,1
Córdoba,LOS HORNILLOS,1
Córdoba,LOS TALAS ANISACATE,1
Córdoba,LOZADA,1
Córdoba,Canals,1
Córdoba,CRUZ DE CAÑA,1
Córdoba,CORONEL OLMEDO,1
Córdoba,BENGOLEA,1
Córdoba,ADELIA MARIA,1
Córdoba,AGUA DE ORO,1
Córdoba,ALEJANDRO ROCA,1
Córdoba,ALICIA,1
Córdoba,ARIAS,1
Córdoba,BALLESTEROS,1
Córdoba,BALNEARIA,1
Córdoba,BARRIO ALTA CORDOBA,1
Córdoba,BARRIO ALTOS GENERAL PAZ,1
Córdoba,BARRIO GRAL PAZ,1
Córdoba,BARRIO MULLER,1
Córdoba,BARRIO PATRICIOS,1
Córdoba,BARRIO YOFRE,1
Córdoba,BERROTARAN,1
Córdoba,CORONEL MOLDES,1
Córdoba,Ballesteros,1
Córdoba,Barrio  ALBERDI,1
Córdoba,Barrio San Justo,1
Córdoba,Bell Ville,1
Córdoba,CAVALANGO,1
Córdoba,CHARRAS,1
Córdoba,CHUCUL,1
Córdoba,CIUDAD AUTONOMA DE BUENOS AIRESLANGO,1
Córdoba,COLON,1
Córdoba,COLONIA ALMADA,1
Córdoba,COLONIA VIGNAUD,1
Córdoba,COMUNA ESTANCIA VIEJA,1
Córdoba,COMUNA SAN ROQUE,1
Mendoza,COLONIA ALVEAR OESTE,1
Mendoza,COQUIMBO,1
Mendoza,CRACRAS DE CORIA,1
Provincia de Buenos Aires,FATIMA,1
Provincia de Buenos Aires,FLORENTINO AMEGHINO,1
Provincia de Buenos Aires,FRANCISCO MADERO,1
Provincia de Buenos Aires,Florencio Varela,1
Provincia de Buenos Aires,Francisco Alvarez,1
Provincia de Buenos Aires,GENERAL GUIDO,1
Provincia de Buenos Aires,GENERAL LAVALLE,1
Provincia de Buenos Aires,GENERAL O BRIEN,1
Provincia de Buenos Aires,GENERAL PECHECO,1
Provincia de Buenos Aires,GENERAL ROJO,1
Provincia de Buenos Aires,GENERAL VILLEGAS,1
Provincia de Buenos Aires,GERMANIA,1
Provincia de Buenos Aires,GLORIA DE LA PEREGRINA,1
Provincia de Buenos Aires,GOBERNADOR CASTRO,1
Provincia de Buenos Aires,GODOY CRUZ VILLA,1
Provincia de Buenos Aires,GORINA,1
Provincia de Buenos Aires,GREGORIO DE LAFERRER,1
Provincia de Buenos Aires,GUIDO VILLA GENERAL JOSE TOMAS,1
Provincia de Buenos Aires,General Juan Madariaga,1
Provincia de Buenos Aires,Glew,1
Provincia de Buenos Aires,HUDSON,1
Provincia de Buenos Aires,Haedo,1
Provincia de Buenos Aires,Highland Park Chapadmalal,1
Provincia de Buenos Aires,IGNACIO CORREAS,1
Provincia de Buenos Aires,ING MASCHWITZ,1
Provincia de Buenos Aires,INGENIERO ADOLFO SOU,1
Provincia de Buenos Aires,INGENIERO PABLO NOGUES,1
Provincia de Buenos Aires,Isidro Casanova,1
Provincia de Buenos Aires,JAUREGUI JOSE MARIA,1
